,URL,full_model_name,Parameters,MMLU_average,arc:challenge|25,hellaswag|10,MMLU_abstract_algebra,MMLU_anatomy,MMLU_astronomy,MMLU_business_ethics,MMLU_clinical_knowledge,MMLU_college_biology,MMLU_college_chemistry,MMLU_college_computer_science,MMLU_college_mathematics,MMLU_college_medicine,MMLU_college_physics,MMLU_computer_security,MMLU_conceptual_physics,MMLU_econometrics,MMLU_electrical_engineering,MMLU_elementary_mathematics,MMLU_formal_logic,MMLU_global_facts,MMLU_high_school_biology,MMLU_high_school_chemistry,MMLU_high_school_computer_science,MMLU_high_school_european_history,MMLU_high_school_geography,MMLU_high_school_government_and_politics,MMLU_high_school_macroeconomics,MMLU_high_school_mathematics,MMLU_high_school_microeconomics,MMLU_high_school_physics,MMLU_high_school_psychology,MMLU_high_school_statistics,MMLU_high_school_us_history,MMLU_high_school_world_history,MMLU_human_aging,MMLU_human_sexuality,MMLU_international_law,MMLU_jurisprudence,MMLU_logical_fallacies,MMLU_machine_learning,MMLU_management,MMLU_marketing,MMLU_medical_genetics,MMLU_miscellaneous,MMLU_moral_disputes,MMLU_moral_scenarios,MMLU_nutrition,MMLU_philosophy,MMLU_prehistory,MMLU_professional_accounting,MMLU_professional_law,MMLU_professional_medicine,MMLU_professional_psychology,MMLU_public_relations,MMLU_security_studies,MMLU_sociology,MMLU_us_foreign_policy,MMLU_virology,MMLU_world_religions
SparseOPT-1.3B,https://huggingface.co/shaohang/SparseOPT-1.3B,shaohang/SparseOPT-1.3B,1.3,0.2559628529236627,0.24061433447098976,0.3836885082652858,0.22,0.21481481481481482,0.15789473684210525,0.2,0.21132075471698114,0.20833333333333334,0.19,0.33,0.24,0.26011560693641617,0.23529411764705882,0.3,0.2127659574468085,0.23684210526315788,0.2413793103448276,0.2566137566137566,0.3333333333333333,0.2,0.23225806451612904,0.2315270935960591,0.23,0.26666666666666666,0.2474747474747475,0.3005181347150259,0.3487179487179487,0.21481481481481482,0.3445378151260504,0.24503311258278146,0.24954128440366974,0.4305555555555556,0.19607843137254902,0.25738396624472576,0.3094170403587444,0.2595419847328244,0.21487603305785125,0.25925925925925924,0.2392638036809816,0.2767857142857143,0.36893203883495146,0.26495726495726496,0.28,0.22860791826309068,0.2514450867052023,0.23575418994413408,0.2908496732026144,0.2057877813504823,0.25,0.2624113475177305,0.23859191655801826,0.4485294117647059,0.2549019607843137,0.23636363636363636,0.17142857142857143,0.22885572139303484,0.27,0.28313253012048195,0.21637426900584794
Athena-v1,https://huggingface.co/IkariDev/Athena-v1,IkariDev/Athena-v1,,0.5560519847435775,0.560580204778157,0.6315475004979088,0.31,0.4962962962962963,0.5263157894736842,0.58,0.5962264150943396,0.5694444444444444,0.36,0.51,0.34,0.5317919075144508,0.29411764705882354,0.7,0.4085106382978723,0.30701754385964913,0.5310344827586206,0.32275132275132273,0.3492063492063492,0.4,0.6580645161290323,0.45320197044334976,0.55,0.6606060606060606,0.702020202020202,0.8186528497409327,0.5102564102564102,0.2814814814814815,0.5336134453781513,0.33774834437086093,0.7247706422018348,0.4212962962962963,0.7598039215686274,0.729957805907173,0.6681614349775785,0.6259541984732825,0.7272727272727273,0.7222222222222222,0.6809815950920245,0.3482142857142857,0.7378640776699029,0.7777777777777778,0.59,0.7420178799489144,0.6213872832369942,0.3206703910614525,0.6078431372549019,0.6430868167202572,0.6574074074074074,0.40425531914893614,0.3924380704041721,0.5257352941176471,0.5408496732026143,0.6454545454545455,0.6408163265306123,0.7512437810945274,0.83,0.4939759036144578,0.7251461988304093
Athena-tmp,https://huggingface.co/IkariDev/Athena-tmp,IkariDev/Athena-tmp,,0.5886853623447243,0.5674061433447098,0.6218880701055567,0.29,0.5185185185185185,0.6381578947368421,0.62,0.6075471698113207,0.7083333333333334,0.38,0.46,0.33,0.5433526011560693,0.38235294117647056,0.68,0.502127659574468,0.3157894736842105,0.5103448275862069,0.35185185185185186,0.40476190476190477,0.41,0.6451612903225806,0.458128078817734,0.62,0.7636363636363637,0.7727272727272727,0.8497409326424871,0.6205128205128205,0.34814814814814815,0.6134453781512605,0.3509933774834437,0.7963302752293578,0.4212962962962963,0.8137254901960784,0.7890295358649789,0.6547085201793722,0.6564885496183206,0.71900826446281,0.7592592592592593,0.7116564417177914,0.36607142857142855,0.7281553398058253,0.8205128205128205,0.57,0.7790549169859514,0.6445086705202312,0.44692737430167595,0.630718954248366,0.6913183279742765,0.6944444444444444,0.450354609929078,0.46284224250325945,0.5698529411764706,0.5882352941176471,0.6454545454545455,0.6530612244897959,0.7213930348258707,0.81,0.463855421686747,0.8011695906432749
13B-Legerdemain-L2,https://huggingface.co/CalderaAI/13B-Legerdemain-L2,CalderaAI/13B-Legerdemain-L2,13.0,0.560029583145915,0.5733788395904437,0.6354311890061741,0.36,0.5259259259259259,0.5723684210526315,0.53,0.6377358490566037,0.625,0.47,0.43,0.3,0.5375722543352601,0.2549019607843137,0.69,0.425531914893617,0.2894736842105263,0.503448275862069,0.32275132275132273,0.35714285714285715,0.3,0.6709677419354839,0.49261083743842365,0.59,0.6545454545454545,0.7272727272727273,0.8031088082901554,0.5435897435897435,0.3148148148148148,0.592436974789916,0.3443708609271523,0.7321100917431193,0.4722222222222222,0.7598039215686274,0.729957805907173,0.6547085201793722,0.6183206106870229,0.7355371900826446,0.7777777777777778,0.6871165644171779,0.3125,0.7281553398058253,0.7991452991452992,0.54,0.7471264367816092,0.6329479768786127,0.27039106145251396,0.6274509803921569,0.6302250803858521,0.6049382716049383,0.42907801418439717,0.424380704041721,0.5220588235294118,0.5326797385620915,0.6090909090909091,0.636734693877551,0.7661691542288557,0.87,0.42771084337349397,0.7777777777777778
13B-Ouroboros,https://huggingface.co/CalderaAI/13B-Ouroboros,CalderaAI/13B-Ouroboros,13.0,0.5143109726356007,0.560580204778157,0.6243776140211114,0.31,0.4666666666666667,0.506578947368421,0.52,0.539622641509434,0.5347222222222222,0.37,0.4,0.35,0.4508670520231214,0.21568627450980393,0.65,0.4340425531914894,0.2982456140350877,0.45517241379310347,0.32275132275132273,0.30158730158730157,0.34,0.5806451612903226,0.3842364532019704,0.55,0.6545454545454545,0.6717171717171717,0.7046632124352331,0.45897435897435895,0.2111111111111111,0.49159663865546216,0.271523178807947,0.7045871559633028,0.3333333333333333,0.6862745098039216,0.7088607594936709,0.5919282511210763,0.6335877862595419,0.6942148760330579,0.5925925925925926,0.6073619631901841,0.44642857142857145,0.7184466019417476,0.7735042735042735,0.55,0.7177522349936143,0.5491329479768786,0.26033519553072626,0.5424836601307189,0.5369774919614148,0.558641975308642,0.36524822695035464,0.40547588005215124,0.48161764705882354,0.5245098039215687,0.6090909090909091,0.5387755102040817,0.6915422885572139,0.83,0.4578313253012048,0.7602339181286549
Luna-AI-Llama2-Uncensored,https://huggingface.co/Tap-M/Luna-AI-Llama2-Uncensored,Tap-M/Luna-AI-Llama2-Uncensored,,0.46696083320641224,0.5059726962457338,0.5972913762198765,0.32,0.42962962962962964,0.3815789473684211,0.52,0.47924528301886793,0.4236111111111111,0.31,0.48,0.32,0.3988439306358382,0.20588235294117646,0.52,0.39574468085106385,0.37719298245614036,0.4689655172413793,0.291005291005291,0.30952380952380953,0.34,0.5193548387096775,0.3054187192118227,0.39,0.6484848484848484,0.5404040404040404,0.6632124352331606,0.43333333333333335,0.28888888888888886,0.40756302521008403,0.304635761589404,0.6073394495412844,0.3194444444444444,0.5637254901960784,0.6624472573839663,0.5739910313901345,0.5419847328244275,0.5950413223140496,0.5185185185185185,0.49079754601226994,0.42857142857142855,0.49514563106796117,0.7136752136752137,0.52,0.6296296296296297,0.5375722543352601,0.25921787709497207,0.5228758169934641,0.5466237942122186,0.5154320987654321,0.39361702127659576,0.35853976531942633,0.4963235294117647,0.45751633986928103,0.5636363636363636,0.46938775510204084,0.5870646766169154,0.7,0.4036144578313253,0.672514619883041
LLaMA_2_70B_LoRA,https://huggingface.co/adonlee/LLaMA_2_70B_LoRA,adonlee/LLaMA_2_70B_LoRA,70.0,0.7083507033667895,0.6902730375426621,0.6886078470424218,0.35,0.6370370370370371,0.8223684210526315,0.76,0.7358490566037735,0.8263888888888888,0.49,0.56,0.41,0.6936416184971098,0.37254901960784315,0.78,0.7106382978723405,0.45614035087719296,0.6206896551724138,0.47619047619047616,0.5079365079365079,0.47,0.8096774193548387,0.5714285714285714,0.78,0.8545454545454545,0.898989898989899,0.9326424870466321,0.7102564102564103,0.337037037037037,0.7815126050420168,0.4900662251655629,0.9009174311926605,0.5833333333333334,0.9019607843137255,0.8818565400843882,0.7847533632286996,0.8473282442748091,0.8760330578512396,0.8425925925925926,0.8466257668711656,0.5714285714285714,0.8252427184466019,0.9145299145299145,0.75,0.8697318007662835,0.7687861271676301,0.646927374301676,0.7516339869281046,0.7684887459807074,0.8271604938271605,0.599290780141844,0.5814863102998696,0.7316176470588235,0.7679738562091504,0.7454545454545455,0.8081632653061225,0.8756218905472637,0.86,0.5301204819277109,0.8713450292397661
LLaMA-2-Wizard-70B-QLoRA,https://huggingface.co/v2ray/LLaMA-2-Wizard-70B-QLoRA,v2ray/LLaMA-2-Wizard-70B-QLoRA,70.0,0.689585931591035,0.643344709897611,0.6948814977096196,0.36,0.6148148148148148,0.7894736842105263,0.69,0.7169811320754716,0.8333333333333334,0.44,0.53,0.44,0.6358381502890174,0.4019607843137255,0.78,0.6723404255319149,0.42105263157894735,0.593103448275862,0.43915343915343913,0.4603174603174603,0.49,0.8161290322580645,0.4876847290640394,0.76,0.8242424242424242,0.8636363636363636,0.9430051813471503,0.7051282051282052,0.3148148148148148,0.7605042016806722,0.423841059602649,0.8917431192660551,0.5740740740740741,0.9166666666666666,0.8649789029535865,0.7802690582959642,0.8473282442748091,0.8677685950413223,0.8055555555555556,0.8282208588957055,0.5267857142857143,0.8252427184466019,0.9017094017094017,0.7,0.8531289910600255,0.7803468208092486,0.4972067039106145,0.7483660130718954,0.7652733118971061,0.808641975308642,0.5567375886524822,0.5547588005215124,0.7389705882352942,0.7516339869281046,0.7272727272727273,0.7714285714285715,0.8855721393034826,0.91,0.5421686746987951,0.8771929824561403
FashionGPT-70B-V1.2,https://huggingface.co/ICBU-NPU/FashionGPT-70B-V1.2,ICBU-NPU/FashionGPT-70B-V1.2,70.0,0.7011144496600764,0.6979522184300341,0.6938856801433977,0.32,0.6074074074074074,0.7828947368421053,0.75,0.7245283018867924,0.7916666666666666,0.49,0.62,0.4,0.6647398843930635,0.39215686274509803,0.77,0.6808510638297872,0.4649122807017544,0.6551724137931034,0.47354497354497355,0.48412698412698413,0.54,0.8064516129032258,0.5221674876847291,0.82,0.8363636363636363,0.8838383838383839,0.9222797927461139,0.6974358974358974,0.3148148148148148,0.773109243697479,0.45695364238410596,0.9027522935779817,0.6203703703703703,0.9166666666666666,0.9071729957805907,0.8071748878923767,0.8396946564885496,0.8264462809917356,0.8055555555555556,0.8343558282208589,0.5535714285714286,0.8543689320388349,0.9017094017094017,0.68,0.8646232439335888,0.8034682080924855,0.5899441340782123,0.7745098039215687,0.7556270096463023,0.8024691358024691,0.5851063829787234,0.5580182529335072,0.7169117647058824,0.7549019607843137,0.7181818181818181,0.7959183673469388,0.8507462686567164,0.89,0.5481927710843374,0.8596491228070176
Llama-2-7b-longlora-16k-ft,https://huggingface.co/Yukang/Llama-2-7b-longlora-16k-ft,Yukang/Llama-2-7b-longlora-16k-ft,7.0,0.23747487667567063,0.20051194539249148,0.25731925911173076,0.22,0.2,0.17763157894736842,0.3,0.20754716981132076,0.2569444444444444,0.2,0.26,0.21,0.20809248554913296,0.21568627450980393,0.28,0.26382978723404255,0.23684210526315788,0.2413793103448276,0.20899470899470898,0.2857142857142857,0.18,0.1774193548387097,0.15270935960591134,0.25,0.21818181818181817,0.17676767676767677,0.19689119170984457,0.2076923076923077,0.2111111111111111,0.21008403361344538,0.1986754966887417,0.1926605504587156,0.4722222222222222,0.23529411764705882,0.270042194092827,0.3094170403587444,0.2595419847328244,0.2396694214876033,0.25925925925925924,0.22085889570552147,0.3125,0.17475728155339806,0.29914529914529914,0.3,0.23499361430395913,0.24855491329479767,0.23798882681564246,0.22549019607843138,0.1864951768488746,0.21604938271604937,0.23404255319148937,0.2457627118644068,0.18382352941176472,0.25,0.21818181818181817,0.22857142857142856,0.24378109452736318,0.28,0.28313253012048195,0.3216374269005848
